ACCIONA,113.900,117.600,111.500,03/05
ACCIONA ENER,20.200,20.820,19.700,03/05
ACERINOX,10.150,10.280,10.140,03/05
ACS,37.860,38.200,37.640,03/05
AENA,172.700,174.500,172.100,03/05
AMADEUS IT GROUP,59.560,61.140,59.440,03/05
ARCELORMITTAL,24.310,24.680,24.180,03/05
BANCO SABADELL,1.885,1.897,1.828,03/05
BANKINTER,7.394,7.580,7.332,03/05
BBVA,9.850,9.964,9.728,03/05
CAIXABANK,4.755,4.987,4.746,03/05
CELLNEX TELECOM,32.820,33.240,31.690,03/05
COLONIAL,5.650,5.830,5.605,03/05
ENAGAS,14.050,14.150,13.750,03/05
ENDESA,17.235,17.535,17.160,03/05
FERROVIAL,34.220,34.620,34.080,03/05
FLUIDRA,20.380,20.620,19.980,03/05
GRIFOLS,8.890,9.020,8.718,03/05
IAG,2.081,2.114,2.075,03/05
IBERDROLA,11.575,11.695,11.505,03/05
INDITEX,42.820,42.880,42.360,03/05
INDRA,18.010,18.170,17.910,03/05
LOGISTA,25.600,25.880,25.600,03/05
MAPFRE,2.242,2.270,2.242,03/05
MELIÁ HOTELS,7.440,7.490,7.310,03/05
MERLIN PROP,10.730,11.030,10.710,03/05
NATURGY,24.060,24.340,23.860,03/05
REDEIA,15.910,16.070,15.780,03/05
REPSOL,14.375,14.485,14.310,03/05
ROVI,82.850,83.300,81.350,03/05
SACYR,3.402,3.436,3.324,03/05
SANTANDER,4.530,4.600,4.514,03/05
SOLARIA,10.280,10.630,9.880,03/05
TELEFÓNICA,4.261,4.279,4.228,03/05
UNICAJA BANCO,1.272,1.297,1.258,03/05
